"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.454" 28 23 26 12 10 4 2 3 1 10 10 2 8 10 8 13 11
"Cluster-2491.455" 0 0 0 6 2 3 3 5 4 0 0 1 7 0 1 4 2
"Cluster-2491.456" 13 11 12 3 3 7 1 3 0 0 0 3 2 0 0 0 0
"Cluster-2491.457" 4 6 3 2 1 4 1 0 0 2 0 19 12 0 0 22 14
"Cluster-2491.458" 6 1 7 0 0 1 1 25 6 179 270 157 230 1 62 55 86
"Cluster-2491.459" 14 2 18 1 0 0 0 14 7 92 185 79 378 0 30 60 80
"Cluster-2491.460" 65 15 50 1 0 0 4 66 27 583 926 592 932 0 218 426 462
"Cluster-2491.463" 2 1 4 0 0 0 2 5 0 5 19 49 77 0 4 29 11
"Cluster-2491.467" 2 3 9 0 4 0 0 0 1 1 2 34 12 0 1 14 17
"Cluster-2491.468" 21 14 12 0 0 0 0 0 0 3 2 10 13 0 1 0 4
"Cluster-2491.470" 4 0 1 1 2 0 0 0 0 3 3 24 18 0 1 15 6
"Cluster-2491.471" 40 26 27 1 5 1 2 9 4 57 93 327 207 1 42 138 69
"Cluster-2491.472" 11 7 6 1 5 0 0 0 0 0 2 2 10 6 1 4 11
"Cluster-2491.473" 117 110 52 4 0 1 0 25 0 9 9 53 134 0 3 3 48
"Cluster-2491.474" 0 0 0 0 0 0 1 0 0 0 0 0 56 0 0 2 2
"Cluster-2491.475" 47 57 43 9 1 3 1 11 4 3 5 2 4 2 2 54 9
"Cluster-2491.476" 2 5 5 0 0 1 0 2 0 0 0 6 7 0 0 4 2
"Cluster-2491.477" 8 1 8 3 0 1 0 6 0 10 22 39 32 0 10 44 21
"Cluster-2491.478" 4 1 6 1 0 0 4 2 2 3 1 18 21 0 1 16 5
"Cluster-2491.479" 3 0 2 1 0 0 5 0 2 2 1 9 26 0 0 2 2
"Cluster-2491.480" 14 8 18 0 0 0 2 2 1 1 1 5 16 0 3 24 14
"Cluster-2491.482" 29 59 19 0 0 1 0 13 0 4 7 6 28 0 1 0 16
"Cluster-2491.484" 0 1 2 0 2 0 12 24 16 9 20 12 5 19 19 40 33
"Cluster-2491.488" 4 6 3 0 0 0 0 1 0 6 2 5 15 0 0 1 2
"Cluster-2491.489" 8 1 5 0 0 0 0 0 0 5 2 16 25 0 2 2 9
"Cluster-2491.490" 3 2 2 2 0 2 0 0 0 3 0 4 8 0 0 1 3
"Cluster-2491.491" 53 44 89 5 6 0 2 6 0 5 0 9 7 3 15 22 5
"Cluster-2491.492" 71 59 50 5 2 1 3 8 0 4 0 9 8 3 18 20 8
"Cluster-2491.493" 3 2 0 0 0 0 1 0 0 1 6 2 12 0 6 1 7
"Cluster-2491.494" 9 15 18 1 0 1 3 8 2 38 81 137 144 0 19 92 54
"Cluster-2491.496" 14 14 5 22 26 24 4 13 11 9 11 18 29 4 8 20 15
"Cluster-2491.498" 49 47 41 0 0 0 0 13 0 10 17 58 116 0 4 2 28
"Cluster-2491.499" 7 5 7 1 4 0 1 1 0 19 34 56 46 0 9 46 14
"Cluster-2491.505" 8 4 8 0 0 0 1 0 0 5 8 62 51 0 1 29 11
"Cluster-2491.506" 4 2 0 0 1 0 2 0 1 0 3 9 7 2 2 8 4
"Cluster-2491.507" 15 15 17 17 26 19 5 6 6 9 10 14 22 5 9 11 17
"Cluster-2491.508" 0 3 2 0 1 3 0 1 1 0 2 0 1 1 0 3 3
"Cluster-2491.509" 6 2 5 0 0 0 0 1 0 3 6 26 27 0 2 25 6
"Cluster-2491.511" 41 44 27 0 0 0 0 16 0 19 39 43 101 1 11 1 19
"Cluster-2491.512" 1 1 7 0 0 0 0 0 0 4 7 12 9 0 0 11 3
"Cluster-2491.513" 8 9 4 2 3 5 5 10 4 7 12 7 10 3 5 11 22
"Cluster-2491.514" 9 5 4 1 0 0 0 0 0 12 17 16 19 0 21 22 10
"Cluster-2491.516" 3 1 2 0 0 0 1 0 0 0 1 2 1 2 1 4 6
"Cluster-2491.517" 23 88 81 14 3 8 7 0 11 2 26 250 1940 2 9 7 21
"Cluster-2491.518" 13 8 5 6 0 1 3 0 0 5 4 3 12 1 0 7 1
"Cluster-2491.519" 2 0 0 0 0 0 0 1 0 14 26 94 51 0 19 40 27
"Cluster-2491.520" 7 1 0 1 3 1 0 0 0 2 0 1 2 1 0 5 1
"Cluster-2491.521" 7 4 5 1 0 0 6 0 0 4 10 39 104 0 2 25 17
"Cluster-2491.522" 18 28 20 6 7 6 0 6 2 0 0 2 6 4 0 12 18
"Cluster-2491.523" 4 0 257 29 32 34 478 1016 371 948 1355 702 581 126 741 1293 2057
"Cluster-2491.524" 1 3 1 2 3 0 0 7 0 7 12 7 5 0 8 6 13
"Cluster-2491.525" 3 19 4 4 5 2 1 5 1 3 3 9 13 10 5 8 12
"Cluster-2491.526" 3 4 6 1 3 1 1 5 0 3 2 5 7 7 5 5 8
"Cluster-2491.528" 10 10 9 3 5 5 1 4 0 13 22 54 36 2 10 51 11
"Cluster-2491.529" 4 9 2 2 4 1 0 1 0 2 0 0 2 0 0 1 0
"Cluster-2491.530" 35 25 32 1 0 0 4 4 0 35 116 254 185 0 25 156 68
"Cluster-2491.532" 4 2 9 3 2 5 0 0 1 11 2 5 8 0 3 1 5
"Cluster-2491.534" 991 873 472 6 6 4 2 6 2 745 1224 226 636 1 503 23 4
"Cluster-2491.535" 29 12 52 0 1 0 4 17 0 133 285 643 420 0 66 218 171
"Cluster-2491.537" 9 13 7 0 1 0 0 3 0 8 8 37 78 0 6 1 4
"Cluster-2491.538" 7 11 11 0 3 0 0 0 5 0 1 4 9 0 0 5 3
"Cluster-2491.539" 14 11 13 3 6 0 4 4 1 3 1 1 5 0 0 2 5
"Cluster-2491.540" 164 124 87 3 1 3 0 14 1 17 13 28 67 0 21 3 60
"Cluster-2491.542" 134 100 94 0 2 5 0 17 0 17 6 27 32 0 21 1 49
"Cluster-2491.543" 17 7 4 1 0 2 9 3 1 38 77 212 168 2 20 93 51
"Cluster-2491.544" 25 27 10 8 13 14 2 6 0 3 2 18 37 1 5 17 13
"Cluster-2491.545" 10 4 1 6 3 2 1 0 2 2 10 21 28 1 7 9 14
"Cluster-2491.549" 0 0 2 1 0 0 1 0 0 2 12 8 20 0 6 1 3
"Cluster-2491.550" 11 12 13 5 9 10 4 2 3 5 15 38 40 6 4 14 11
"Cluster-2491.551" 13 15 12 3 1 5 0 1 0 0 1 1 6 0 0 2 1
"Cluster-2491.554" 153 97 86 5 9 4 2 2 10 47 112 48 72 4 39 40 21
"Cluster-2491.555" 0 2 1 0 1 1 4 5 0 0 3 4 5 0 0 22 5
"Cluster-2491.556" 100 135 39 65 48 46 0 2 3 10 5 3 5 0 0 6 3
"Cluster-2491.557" 4 1 8 1 0 2 7 13 25 24 26 9 10 7 17 43 27
"Cluster-2491.558" 7 0 4 0 1 1 6 9 12 6 14 8 11 9 10 21 22
"Cluster-2491.560" 2 2 3 0 1 0 5 1 1 3 2 13 6 1 3 18 5
"Cluster-2491.561" 2 6 10 0 2 0 2 2 3 7 15 11 8 5 2 33 9
"Cluster-2491.562" 6 5 2 1 0 1 1 0 0 0 1 0 0 0 0 4 0
"Cluster-2491.563" 7 10 0 15 11 21 0 4 0 0 2 4 11 1 1 8 20
"Cluster-2491.564" 0 0 0 0 0 0 107 464 0 0 3 13 63 50 0 0 0
"Cluster-2491.565" 1 4 0 5 6 7 4 5 8 0 0 6 3 3 9 6 18
"Cluster-2491.566" 349 249 242 13 17 21 3 20 11 189 225 123 173 4 123 33 68
"Cluster-2491.567" 355 217 219 11 8 14 1 26 4 69 99 77 110 3 73 24 50
"Cluster-2491.569" 0 1 0 0 0 0 2 3 4 0 3 7 16 2 3 16 9
"Cluster-2491.570" 10 2 4 12 12 13 1 0 0 0 3 4 4 1 0 0 6
"Cluster-2491.571" 5 2 0 0 2 4 1 4 0 1 0 0 2 0 0 5 1
"Cluster-2491.572" 5 5 1 11 17 7 2 1 0 0 2 1 6 1 1 6 9
"Cluster-2491.574" 6 2 1 0 2 2 3 0 1 5 15 5 3 0 0 9 2
"Cluster-2491.578" 0 0 0 25 26 11 0 0 0 0 1 2 2 0 0 1 2
"Cluster-2491.579" 4 2 4 0 0 0 2 0 0 0 4 1 10 1 1 3 2
"Cluster-2491.581" 7 12 6 3 6 9 2 28 8 9 14 4 6 10 11 31 9
"Cluster-2491.582" 14 18 6 3 17 24 4 13 2 2 0 1 2 11 3 13 15
"Cluster-2491.583" 2 3 2 3 4 3 2 2 2 2 4 25 30 0 5 14 10
"Cluster-2491.584" 6 7 1 6 16 3 5 12 7 5 2 19 33 2 8 16 17
"Cluster-2491.585" 1 4 0 4 7 5 3 2 2 1 4 15 24 0 3 6 7
"Cluster-2491.586" 29 24 34 4 7 5 1 13 6 0 0 5 7 5 1 12 9
"Cluster-2491.587" 0 1 2 15 9 18 8 10 3 3 6 16 11 2 2 37 24
"Cluster-2491.588" 2 7 5 0 0 11 1 0 4 5 1 1 3 5 11 2 1
"Cluster-2491.589" 1004 947 708 170 179 177 6 5 11 52 58 6 4 3 29 25 11
"Cluster-2491.590" 28 14 8 14 22 7 5 12 2 0 5 4 15 13 2 4 12
"Cluster-2491.591" 31 16 12 19 17 7 4 19 0 0 0 3 15 8 0 6 13
"Cluster-2491.594" 5 3 1 0 0 0 1 2 0 2 3 26 24 2 0 10 14
"Cluster-2491.595" 5 6 1 0 0 0 0 2 0 1 4 40 32 2 0 10 13
"Cluster-2491.596" 6 5 3 2 1 4 3 0 3 4 2 10 10 3 0 7 9
"Cluster-2491.597" 9 8 2 0 0 0 5 5 0 27 61 117 113 0 29 34 12
"Cluster-2491.598" 19 25 10 10 10 6 7 8 10 4 8 9 10 13 2 23 13
"Cluster-2491.599" 14 33 32 20 14 21 6 17 16 41 13 3 5 14 32 36 27
"Cluster-2491.600" 5 3 3 3 11 4 9 4 8 1 2 1 2 3 1 7 3
"Cluster-2491.601" 1 0 0 0 0 0 6 22 14 0 0 0 0 18 3 26 13
"Cluster-2491.602" 60 39 28 20 19 18 7 7 6 22 34 45 63 2 18 37 15
"Cluster-2491.603" 2 4 6 1 1 1 0 2 0 0 2 1 4 1 0 7 5
"Cluster-2491.604" 0 0 0 0 0 0 49 1051 0 0 1 0 1 242 3 0 0
"Cluster-2491.605" 189 94 45 63 36 60 13 9 14 28 13 20 52 24 26 13 32
"Cluster-2491.606" 55 34 39 0 0 1 1 4 0 11 11 21 89 0 6 1 12
"Cluster-2491.607" 0 0 0 0 0 0 46 8 0 0 0 2 51 0 3 0 0
"Cluster-2491.608" 52 26 28 2 2 0 3 6 1 11 34 71 55 2 11 44 39
"Cluster-2491.609" 3 0 0 1 3 2 2 1 0 0 0 0 2 0 0 3 2
"Cluster-2491.610" 11 10 1 3 3 7 3 3 6 1 1 6 12 2 2 12 6
"Cluster-2491.611" 2 3 1 0 0 0 0 0 2 0 0 1 1 4 0 4 5
"Cluster-2491.613" 32 31 25 8 5 4 9 3 7 12 9 3 9 0 4 14 8
"Cluster-2491.614" 19 21 19 14 25 13 3 0 11 6 1 53 19 2 7 20 9
"Cluster-2491.615" 0 2 2 1 18 58 122 839 11 0 27 2 81 48 11 0 0
"Cluster-2491.617" 28 38 22 1 0 0 1 2 1 0 1 2 1 1 0 3 1
"Cluster-2491.618" 14 15 18 2 5 5 1 5 2 1 0 11 13 0 2 12 13
"Cluster-2491.619" 273 200 208 9 8 4 9 33 0 111 151 808 534 1 80 344 1127
"Cluster-2491.620" 0 1 0 1 6 2 4 2 0 0 0 0 5 3 0 4 4
"Cluster-2491.621" 0 0 0 0 0 0 11 3 7 0 0 0 0 6 2 10 4
"Cluster-2491.622" 5 9 1 1 3 2 1 5 0 0 0 1 3 0 1 6 3
"Cluster-2491.623" 0 0 0 0 0 0 43 4 0 0 3 1 25 0 2 0 0
"Cluster-2491.624" 30 25 27 36 50 47 2 5 13 1 2 1 4 10 2 10 15
"Cluster-2491.625" 3 5 1 1 2 0 3 5 0 4 1 6 5 1 3 1 2
"Cluster-2491.626" 0 4 0 0 0 0 155 213 0 0 27 18 175 20 6 0 1
"Cluster-2491.627" 0 1 1 2 1 0 2 1 1 0 1 14 22 1 0 9 12
"Cluster-2491.628" 7 9 2 2 1 4 2 0 0 2 3 2 2 0 0 6 1
"Cluster-2491.630" 2 2 0 3 4 5 5 1 1 0 7 6 17 0 0 1 3
"Cluster-2491.631" 9 9 0 13 4 1 5 1 2 3 24 25 47 0 4 5 18
"Cluster-2491.633" 0 0 0 0 0 0 21 0 0 3 4 3 0 0 1 0 2
"Cluster-2491.634" 0 0 0 0 0 0 7 0 0 0 4 3 0 0 2 0 0
"Cluster-2491.635" 2 2 2 9 13 11 6 3 5 6 17 14 9 4 7 3 7
"Cluster-2491.637" 10 10 17 12 11 7 9 5 13 13 4 7 8 4 5 31 28
"Cluster-2491.638" 1 8 4 0 1 2 1 4 8 38 77 65 107 3 9 44 26
"Cluster-2491.639" 172 114 59 2 2 4 4 50 1 6 10 57 178 2 5 2 62
"Cluster-2491.641" 21 3 15 3 1 3 5 1 1 7 23 38 45 1 11 56 22
"Cluster-2491.642" 4 3 0 4 2 0 3 0 0 0 0 1 2 0 0 5 4
"Cluster-2491.643" 13 20 7 10 8 5 6 11 13 4 3 5 12 5 1 8 13
"Cluster-2491.645" 2 4 2 0 2 1 1 1 1 1 0 0 4 1 2 0 1
"Cluster-2491.649" 11 8 2 66 56 38 8 8 14 1 4 4 6 6 2 25 25
"Cluster-2491.652" 0 0 0 0 0 0 18 0 0 2 0 3 0 0 1 0 7
"Cluster-2491.653" 109 62 117 1 0 0 6 4 0 78 163 198 199 0 53 177 94
"Cluster-2491.654" 1 0 0 4 5 7 0 0 0 0 1 7 8 0 0 2 4
"Cluster-2491.655" 11 3 2 33 32 14 1 1 0 1 5 26 37 3 3 15 11
"Cluster-2491.656" 10 1 5 51 69 55 1 2 2 3 3 23 17 3 2 8 11
"Cluster-2491.657" 12 5 4 13 12 3 1 4 1 2 10 25 32 4 8 15 20
"Cluster-2491.658" 16 10 6 245 312 251 6 6 19 2 5 39 30 3 9 30 21
"Cluster-2491.659" 8 1 1 31 29 29 1 1 0 1 3 15 14 3 2 9 11
"Cluster-2491.660" 1 0 0 12 30 11 1 2 0 0 1 4 3 2 0 7 5
"Cluster-2491.661" 2 0 0 12 11 17 0 1 0 0 1 5 6 0 0 1 2
"Cluster-2491.662" 1 0 1 18 17 13 1 0 0 1 1 0 7 0 0 2 5
"Cluster-2491.663" 0 0 1 64 86 92 3 2 6 0 0 2 4 1 5 5 3
"Cluster-2491.664" 10 7 5 3 6 5 5 13 2 1 5 2 8 0 0 18 11
"Cluster-2491.665" 14 13 4 0 1 0 2 0 0 0 0 1 1 0 0 0 2
"Cluster-2491.666" 12 9 4 5 1 7 3 2 0 3 0 1 5 1 0 7 11
"Cluster-2491.667" 1 2 1 0 0 0 6 8 9 2 4 2 0 6 10 21 6
"Cluster-2491.668" 4 4 5 2 2 1 3 0 0 0 0 0 9 2 0 0 2
"Cluster-2491.669" 3 1 1 0 0 0 0 0 0 0 0 15 7 1 1 12 3
"Cluster-2491.670" 5 4 3 18 12 16 4 0 8 4 1 2 7 4 3 15 11
"Cluster-2491.672" 5 2 1 5 5 9 0 1 4 0 0 0 1 0 0 6 6
"Cluster-2491.673" 8 8 7 0 1 6 6 2 2 0 1 2 3 0 0 2 5
"Cluster-2491.675" 2 4 0 0 2 0 7 0 0 0 1 0 13 1 0 1 3
"Cluster-2491.676" 30 25 35 5 8 4 8 3 2 0 2 6 7 2 1 15 7
"Cluster-2491.678" 0 0 6 1 0 0 11 6 11 35 58 19 22 0 21 33 40
"Cluster-2491.679" 2 3 7 2 9 3 2 0 2 1 7 5 6 2 1 7 5
"Cluster-2491.680" 1 1 0 1 6 12 3 2 6 1 2 2 3 1 5 9 5
"Cluster-2491.681" 28 18 20 0 1 0 3 3 4 11 17 34 31 5 7 20 25
"Cluster-2491.682" 6 8 2 1 1 2 2 7 4 2 3 2 5 2 1 4 4
"Cluster-2491.683" 2 1 1 2 3 2 2 12 12 0 5 2 6 2 0 5 5
"Cluster-2491.686" 0 1 0 9 15 18 9 3 5 4 0 2 7 2 2 17 20
"Cluster-2491.687" 2 0 0 1 3 0 2 4 3 1 0 1 3 0 0 2 6
"Cluster-2491.688" 5 2 1 3 0 1 5 6 7 0 1 2 8 3 6 8 22
"Cluster-2491.689" 4 8 3 0 1 1 3 1 0 0 5 0 8 3 0 4 8
"Cluster-2491.690" 22 21 5 16 24 22 4 4 7 0 1 8 17 5 0 20 13
"Cluster-2491.693" 5 0 2 7 2 4 5 4 2 2 1 3 8 0 3 2 7
"Cluster-2491.694" 11 0 7 4 4 7 3 3 1 1 2 4 12 2 0 7 6
"Cluster-2491.695" 20 20 12 7 14 7 11 32 15 113 112 79 123 9 91 33 38
"Cluster-2491.696" 2 3 0 2 0 0 2944 2983 18 13 163 206 1963 16 100 0 0
"Cluster-2491.697" 7 1 1 2 5 4 5 4 4 1 1 0 4 5 1 9 16
"Cluster-2491.699" 0 0 0 0 0 0 21 153 0 0 5 8 10 0 0 1 1
"Cluster-2491.700" 12 9 10 12 13 8 2 5 4 2 2 5 12 3 0 14 10
"Cluster-2491.701" 14 10 5 5 4 10 1 2 0 2 0 3 12 1 1 6 7
"Cluster-2491.702" 6 7 10 1 0 0 2 7 0 13 51 181 186 0 15 76 51
"Cluster-2491.703" 4 2 0 0 1 2 1 0 0 3 10 4 4 1 6 6 4
"Cluster-2491.706" 2 3 2 0 0 0 3 0 0 5 14 12 19 0 0 3 5
"Cluster-2491.708" 6 9 9 3 4 4 1 2 6 9 3 12 20 3 3 11 16
"Cluster-2491.709" 0 1 1 1 1 0 0 0 0 0 2 5 14 0 0 1 0
"Cluster-2491.710" 0 3 0 0 0 0 38 76 3 0 10 5 21 4 3 3 2
"Cluster-2491.711" 419 424 316 0 6 2 0 7 8 127 190 45 64 0 66 23 9
"Cluster-2491.712" 1025 890 489 6 7 3 3 8 1 710 1133 219 542 5 446 19 4
"Cluster-2491.713" 3 4 2 1 8 3 10 6 3 0 2 0 4 0 4 25 18
"Cluster-2491.716" 0 0 0 0 0 0 9 7 0 0 5 2 4 5 0 0 0
"Cluster-2491.718" 29 11 18 0 0 0 10 9 0 30 104 259 196 0 21 133 53
"Cluster-2491.719" 14 4 6 11 10 3 5 2 4 22 55 91 96 1 25 46 29
"Cluster-2491.720" 13 17 10 45 35 28 20 11 10 32 26 95 115 8 24 62 44
"Cluster-2491.721" 13 1 0 0 0 2 2 2 0 4 0 1 0 0 3 2 1
"Cluster-2491.722" 4 3 4 3 0 0 2 3 3 15 16 3 8 6 5 3 4
"Cluster-2491.723" 0 1 2 0 1 0 88 461 2 1 2 4 47 40 0 2 0
"Cluster-2491.724" 0 0 0 0 0 0 23 52 0 0 0 0 26 0 0 0 0
"Cluster-2491.725" 57 83 32 1 1 2 1 1 2 4 1 4 8 1 2 4 1
"Cluster-2491.726" 0 2 1 29 3 3 9 1 4 5 0 0 3 1 2 6 5
"Cluster-2491.727" 6 7 3 0 3 1 1 0 4 0 0 0 1 0 0 6 1
"Cluster-2491.728" 2 9 4 3 1 0 4 31 5 4 2 2 6 3 1 16 21
"Cluster-2491.729" 87 46 75 0 1 0 10 21 0 179 320 463 486 0 175 471 155
"Cluster-2491.730" 0 2 0 120 298 780 29 69 0 0 4 0 2 3 0 0 1
"Cluster-2491.731" 18 13 17 0 3 0 7 2 0 28 50 60 95 0 19 44 44
"Cluster-2491.733" 3 1 2 4 2 0 2 2 2 0 4 3 2 2 1 4 2
"Cluster-2491.734" 3 3 0 0 1 0 17 2 15 0 3 1 5 8 1 11 8
"Cluster-2491.735" 13 11 11 11 7 6 4 5 2 2 2 3 14 0 1 5 1
"Cluster-2491.736" 4 8 3 6 2 2 0 1 0 0 0 2 5 1 0 4 2
"Cluster-2491.738" 7 7 1 4 9 4 8 5 6 2 3 11 13 5 5 21 14
"Cluster-2491.740" 2 1 0 0 0 0 2 0 0 1 5 19 5 0 3 5 7
"Cluster-2491.741" 0 0 0 0 0 0 11 0 0 0 0 4 0 0 2 0 2
"Cluster-2491.742" 8 8 4 2 5 2 4 1 1 6 5 5 11 0 4 11 3
"Cluster-2491.744" 15 17 4 4 3 1 1 3 4 0 1 0 3 1 0 12 5
"Cluster-2491.745" 10 7 9 0 0 0 1 25 1 33 65 433 317 0 34 290 171
"Cluster-2491.746" 3 16 5 0 0 0 376 1045 2 0 23 30 142 135 13 5 1
"Cluster-2491.747" 9 5 2 0 0 0 2 0 1 4 10 58 44 0 4 20 15
"Cluster-2491.748" 30 52 42 23 13 15 14 12 6 4 4 12 40 10 4 29 28
"Cluster-2491.749" 16 9 15 0 1 0 2 3 2 0 0 1 4 2 0 8 4
"Cluster-2491.750" 0 0 0 0 2 3 9 1 9 5 1 9 24 1 1 16 65
"Cluster-2491.751" 0 0 0 0 0 0 15 0 0 0 0 2 0 0 0 0 0
"Cluster-2491.752" 27 11 27 0 8 1 3 4 0 106 183 336 256 0 50 207 75
"Cluster-2491.753" 12 12 7 4 7 9 9 30 7 5 5 3 3 7 9 38 27
"Cluster-2491.754" 6 12 1 1 1 1 2 2 1 0 0 2 6 1 0 3 2
"Cluster-2491.755" 5 0 3 8 11 1 3 1 1 1 0 2 2 1 1 7 4
"Cluster-2491.756" 130 75 58 20 12 12 10 14 5 19 31 43 60 6 15 85 50
"Cluster-2491.757" 3 8 10 9 10 10 1 6 3 1 3 4 4 1 4 11 17
"Cluster-2491.758" 1 2 1 28 1 3 6 1 4 5 0 0 0 0 0 4 7
"Cluster-2491.759" 4 1 0 0 0 1 4 1 2 1 0 0 2 0 0 2 0
"Cluster-2491.761" 0 0 1 10 0 1 9 0 3 0 0 0 0 1 0 1 5
"Cluster-2491.762" 0 0 0 0 0 0 19 0 0 0 0 0 0 0 2 0 0
"Cluster-2491.763" 37 25 20 6 14 7 11 12 10 4 7 10 24 6 4 42 46
"Cluster-2491.764" 29 19 8 2 10 4 0 9 0 6 4 2 6 0 2 7 10
"Cluster-2491.765" 5 14 5 7 11 8 7 11 5 4 7 1 6 4 1 17 35
"Cluster-2491.766" 8 6 2 1 0 1 3 4 0 0 1 1 2 2 0 4 7
"Cluster-2491.767" 10 6 4 2 6 3 3 6 2 0 1 5 8 1 0 1 7
"Cluster-2491.768" 13 24 14 11 4 5 4 3 1 3 1 1 5 1 0 11 15
"Cluster-2491.769" 79 83 35 24 17 15 10 20 4 3 4 14 24 6 1 13 48
"Cluster-2491.770" 2 2 1 3 1 0 4 2 2 0 0 0 0 4 0 2 1
"Cluster-2491.771" 5 6 10 2 3 4 2 2 1 3 2 8 6 0 1 7 4
"Cluster-2491.772" 8 2 10 2 1 1 2 0 0 1 0 0 6 1 0 6 9
"Cluster-2491.773" 3 6 1 0 0 0 2 0 1 0 2 0 0 0 0 1 0
"Cluster-2491.774" 10 9 12 1 0 2 8 9 0 60 152 353 252 2 73 134 77
"Cluster-2491.775" 43 18 36 1 0 0 12 15 0 90 221 334 332 2 98 302 136
"Cluster-2491.776" 12 10 13 3 1 3 3 11 4 26 61 97 112 2 36 78 50
"Cluster-2491.777" 18 12 17 0 2 3 4 10 1 45 137 205 219 0 51 142 93
"Cluster-2491.778" 9 2 10 1 1 0 5 4 1 35 86 121 128 0 30 62 45
"Cluster-2491.780" 4 7 0 0 0 0 213 684 5 3 60 31 174 90 9 6 2
"Cluster-2491.781" 0 0 0 0 0 0 7 0 6 0 0 0 2 2 1 2 9
"Cluster-2491.782" 14 15 5 4 1 4 5 13 12 3 2 2 4 3 8 49 19
"Cluster-2491.783" 9 12 7 1 5 2 7 10 17 2 3 1 2 1 6 64 25
"Cluster-2491.785" 17 10 12 0 0 0 0 4 0 37 93 163 159 0 22 85 36
"Cluster-2491.786" 21 7 11 0 0 0 1 9 0 8 33 26 76 0 6 7 12
"Cluster-2491.788" 14 16 12 20 21 10 2 11 3 5 10 4 16 3 8 9 14
"Cluster-2491.790" 2 5 3 45 5 9 10 1 14 15 0 0 1 0 0 21 19
"Cluster-2491.791" 7 4 2 14 19 7 6 5 4 1 0 1 2 2 3 15 10
"Cluster-2491.792" 21 13 2 23 30 20 4 10 11 8 0 2 6 3 3 16 26
"Cluster-2491.794" 0 0 0 0 0 0 12 0 0 1 0 2 0 0 3 0 0
"Cluster-2491.795" 203 155 117 40 40 60 33 80 30 232 327 408 603 9 157 328 206
"Cluster-2491.796" 15 14 25 9 2 1 2 1 6 9 8 2 1 5 13 4 4
"Cluster-2491.797" 24 32 35 10 3 0 10 0 4 7 4 2 2 2 13 2 5
"Cluster-2491.798" 34 36 58 6 8 3 2 0 7 7 9 4 2 3 9 10 8
"Cluster-2491.799" 0 0 0 1 2 2 16 1 30 0 0 0 0 0 0 3 10
"Cluster-2491.801" 47 37 27 20 12 12 4 12 1 6 17 45 93 1 8 80 60
"Cluster-2491.802" 10 3 3 3 4 4 7 7 6 0 1 0 3 6 1 20 16
"Cluster-2491.803" 6 34 16 101 339 759 1309 6982 33 12 229 102 1059 534 66 18 10
"Cluster-2491.804" 70 79 41 31 26 17 50 25 36 11 13 17 35 11 11 80 89
"Cluster-2491.806" 44 35 21 6 11 4 12 6 2 1 5 5 2 0 3 23 11
"Cluster-2491.807" 19 26 27 32 24 25 6 4 3 10 18 34 42 10 3 21 23
"Cluster-2491.809" 0 3 1 21 1 0 4 0 0 5 6 101 3 3 33 1 0
"Cluster-2491.810" 1 5 0 0 0 0 6 4 2 0 0 0 0 2 0 4 0
"Cluster-2491.812" 0 4 6 45 7 24 8 5 21 6 0 0 5 3 13 28 19
"Cluster-2491.813" 6 6 3 0 0 0 2 0 0 0 0 1 0 0 0 1 0
"Cluster-2491.814" 4 5 4 0 1 2 1 0 0 0 0 0 2 1 1 2 0
"Cluster-2491.816" 13 21 16 45 20 11 5 26 10 1 7 2 2 5 2 5 18
"Cluster-2491.817" 42 26 19 15 9 13 7 10 16 15 28 42 53 6 25 56 25
"Cluster-2491.818" 8 13 4 7 4 9 7 15 17 3 0 11 6 5 6 9 17
"Cluster-2491.819" 0 5 3 0 0 0 110 219 0 3 14 11 37 58 1 0 1
"Cluster-2491.821" 24 9 10 1 0 0 1 17 0 104 293 728 1118 0 126 351 134
"Cluster-2491.822" 3 5 1 1 0 2 10 4 12 0 0 1 1 9 9 58 15
"Cluster-2491.824" 0 2 9 100 0 6 25 5 24 15 0 0 1 0 0 8 16
"Cluster-2491.825" 0 2 13 85 0 3 11 4 20 16 0 0 1 2 0 7 12
"Cluster-2491.826" 2 4 5 0 0 0 6 0 0 0 2 0 2 1 0 2 0
"Cluster-2491.827" 3 1 0 1 0 0 5 0 0 0 2 7 13 0 0 0 0
"Cluster-2491.828" 9 7 3 2 0 3 6 2 3 3 1 3 1 0 0 3 5
"Cluster-2491.829" 19 14 4 11 11 12 4 11 4 1 5 8 10 5 0 9 14
"Cluster-2491.832" 6637 6751 3615 570 457 317 12 9 9 296 110 7 17 13 63 29 12
"Cluster-2491.833" 14 12 2 11 35 26 5 8 5 19 11 7 16 7 22 16 16
"Cluster-2491.834" 1 5 3 1 4 2 3 2 3 0 2 5 2 0 1 3 2
"Cluster-2491.835" 472 639 1266 42 12 23 27 7 9 36 28 44 21 20 56 155 44
"Cluster-2491.836" 557 749 1301 53 8 14 43 5 8 33 35 16 7 13 50 184 37
